collection_id,collection_name,author_name_ko,author_name_hanja,ja,ho,dynasty,birth_year,death_year,confidence,note
0508,지수재집,유척기,兪拓基,전보(展甫),지수재(知守齋),조선,1691,1767,high,영의정 역임; 기계 유씨
0509,오천집,이종성,李宗城,자고(子固),오천(梧川),조선,1692,1759,high,영의정 역임; 이종성(李宗聖) 등 동명이인 주의
0510,동계집,조귀명,趙龜命,석여(錫汝)/보여(寶汝),동계(東谿),조선,1692,1737,high,풍양 조씨; 산문으로 이름난 문인
0511,정암집,민우수,閔遇洙,사원(士元),정암(貞庵),조선,1694,1756,high,민진후의 아들; 여흥 민씨
0512,직암집,신경,申暻,,직암(直菴),조선,1696,,medium,자 미상; 1732년 김간에게 보낸 서한 및 1766년 발문이 확인되어 몰년은 그 이후로 추정되나 정확한 연도 미상
0513,뇌연집,남유용,南有容,덕재(德哉),뇌연(雷淵)/소화(小華),조선,1698,1773,high,이재의 문인; 홍문관제학·형조판서 역임
0514,진암집,이천보,李天輔,의숙(宜叔),진암(晉庵),조선,1698,1761,high,영의정 역임; 연안 이씨
0515,월곡집,오원,吳瑗,백옥(伯玉),월곡(月谷),조선,1700,1740,high,해주 오씨; 대제학 역임
0516,춘주유고,김도수,金道洙,사원(士源),춘주(春洲),조선,1699,1733,high,서출 출신 문인; 춘천에 은거
0517,계구암집,윤형로,尹衡老,,계구암(戒懼庵),조선,1702,1782,high,자 미상; 후재 김간·도암 이재의 문인; 문집은 증손 윤수연이 1865년경 간행
0518,삼산집,김이안,金履安,원례(元禮),삼산재(三山齋),조선,1722,1791,low,원제목은 삼산재집(三山齋集)으로 추정되며 목록의 '삼산집'은 축약 표기일 가능성; 문집총간 배열상(생년순) 앞뒤 저자가 1699~1702년생이라 1722년생인 김이안은 시기가 다소 맞지 않아 확신도 낮음; 1735년 문과 급제 후 하락지요를 저술했다는 별도의 '삼산(三山)' 호 인물 존재 가능성도 확인했으나 특정하지 못함
0519,미호집,김원행,金元行,백춘(伯春),미호(渼湖)/운루(雲樓),조선,1702,1772,high,김창집의 증손; 안동 김씨 낙론계 종장
0520,손재집,남한조,南漢朝,종백(宗伯),손재(損齋),조선,1744,1809,low,동일 한글명의 다른 문집 존재: 박광일(朴光一;1655~1723)의 손재집(遜齋集); 문집총간 배열상(생년순) 앞뒤 저자가 1699~1705년생이라 두 후보 모두 시기가 맞지 않으나 통상 '손재집'으로 더 많이 인용되는 남한조(損齋集)를 채택
0521,역천집,송명흠,宋明欽,회가(晦可),역천(櫟泉),조선,1705,1768,high,은진 송씨; 송문흠의 형
0522,원교집,이광사,李匡師,도보(道甫),원교(圓嶠)/수북(壽北),조선,1705,1777,high,양명학자 겸 서예가; 원교체 창시
0523,백불암집,최흥원,崔興遠,태초(太初)/여호(汝浩),백불암(百弗庵),조선,1705,1786,high,대구 칠곡 출신; 향약 시행으로 유명
0524,구사당집,김낙행,金樂行,간부(艮夫),구사당(九思堂),조선,1708,1766,high,밀암 이재의 문인; 제문에 뛰어나 구제밀찰로 일컬어짐
0525,탄만집,이용휴,李用休,경명(景命),혜환(惠寰)/혜환재(惠寰齋),조선,1708,1782,high,'탄만집'은 필사본 이본의 명칭; 통상 호는 혜환(惠寰); 이익의 조카이자 이가환의 아버지
0526,소곡유고,윤광소,尹光紹,치승(稚繩),소곡(素谷),조선,1708,1786,high,병조참판 역임
0527,강한집,황경원,黃景源,대경(大卿),강한(江漢)/강한유로(江漢遺老),조선,1709,1787,high,대제학 역임; 명나라 유민사 서술에 힘씀
0528,운평집,송능상,宋能相,사능(士能)/사홍(士弘)/사룡(士龍),운평(雲坪)/동해자(東海子),조선,1710,1758,high,한원진의 문인; 은진 송씨
0529,한정당집,송문흠,宋文欽,사행(士行),한정당(閒靜堂),조선,1710,1752,high,송명흠의 아우; 서예에 능함
0530,능호집,이인상,李麟祥,원령(元靈),능호관(凌壺觀)/보산자(寶山子),조선,1710,1760,high,서화가로도 유명; 전주 이씨 서얼
0531,대산집,이상정,李象靖,경문(景文),대산(大山),조선,1711,1781,high,이현일의 외증손; 영남 남인 학맥의 중심
0532,녹문집,임성주,任聖周,중사(仲思),녹문(鹿門),조선,1711,1788,high,기호 낙론계 성리학자; 임윤지당의 오빠
0533,과암집,송덕상,宋德相,숙함(叔咸),과암(果菴),조선,1710,1783,high,송시열의 후손; 정치적 사건에 연루되어 유배 중 사망
0534,순암집,안정복,安鼎福,백순(百順),순암(順庵)/한산병은(漢山病隱)/우이자(虞夷子)/상헌(橡軒),조선,1712,1791,high,동사강목 저술; 이익의 문인
0535,재간집,임희성,任希聖,자시(子時),재간(在澗)/간옹(澗翁),조선,1712,1783,high,풍천 임씨
