collection_id,collection_name,author_name_ko,author_name_hanja,ja,ho,dynasty,birth_year,death_year,confidence,note
0035,구정유고,남재,南在,경지,구정,고려말조선초,1351,1419,high,"초명은 겸(謙)이며 태조의 명으로 재(在)로 개명; 조선 개국공신, 시호 충경(忠景)"
0036,양촌집,권근,權近,사숙,양촌,고려말조선초,1352,1409,high,"고려말 학자이자 조선 건국 초 핵심 문신; 시호 문충(文忠)"
0037,기우집,이행,李行,주도,백암/기우자,고려말조선초,1352,1432,high,"소를 타고 다닌다 하여 호를 기우자(騎牛子)라 함"
0038,야은집,길재,吉再,재보,야은/금오산인,고려말조선초,1353,1419,high,"고려 삼은(三隱)의 한 사람; 조선 개국 후 출사를 거부하고 은거"
0039,복재집,정총,鄭摠,만석,복재,고려말조선초,1358,1397,high,"시호 문민(文愍); 정도전과 함께 고려사 편찬"
0040,인재유고,이종학,李種學,중문,인재,고려말조선초,1361,1392,high,"목은 이색(李穡)의 아들; 호가 麟齋(인재)로 0046 寅齋(신개)·강희안의 仁齋와 한글 표기가 같아 혼동 주의"
0041,형재시집,이직,李稷,우정,형재,고려말조선초,1362,1431,high,"조선 개국 3등공신, 영의정 역임; 시호 문경(文景)"
0042,용헌집,이원,李原,차산,용헌,고려말조선초,1368,1429,high,"본관 고성(固城); 좌의정 역임"
0043,춘정집,변계량,卞季良,거경,춘정,조선,1369,1430,high,"조선 초 대표 관각문인; 시호 문숙(文肅)"
0044,별동집,윤상,尹祥,실부,별동,조선,1373,1455,high,"초명 철(哲); 정몽주 학통을 이은 성리학자, 세종대 성균관에서 강학"
0045,국당유고,박흥생,朴興生,경부,국당/국은/춘곡,고려말조선초,1374,1446,high,"호 국당(菊堂)은 고려말 문신 이천(李蒨)도 사용했으나, 문집총간의 국당유고는 박흥생의 저작으로 확인됨(krpia 한국고전번역원 해제 기준)"
0046,인재집,신개,申槩,자격,인재,조선,1374,1446,high,"호가 寅齋(인재)로 0040 麟齋(이종학) 인재유고, 강희안의 仁齋(인재)와 한글 표기가 같아 혼동 주의; 시호 문희(文僖)"
0047,경재집,하연,河演,연량,경재,조선,1376,1453,high,"영의정 역임; 시호 문효(文孝); 호 敬齋(경재)가 0052 경재유고(남수문)와 동일해 혼동 주의"
0048,정재일고,박의중,朴宜中,자허,정재,고려말조선초,1337,1403,high,"초명 실(實); 호는 貞齋(정재)이며 靜齋가 아님; 시호 문경(文敬)"
0049,단계유고,하위지,河緯地,천장,단계,조선,1412,1456,high,"사육신의 한 사람; 세조의 왕위찬탈에 반대하여 처형됨"
0050,태재집,유방선,柳方善,자계,태재,조선,1388,1443,high,"서거정·권람·한명회 등을 가르친 학자"
0051,불우헌집,정극인,丁克仁,가택,불우헌/다각/다헌,조선,1401,1481,high,"현전 최초의 가사 작품 <상춘곡>의 작가"
0052,경재유고,남수문,南秀文,경질,경재,조선,1408,1442,high,"집현전 학자; 호 敬齋(경재)가 0047 경재집(하연)과 동일해 혼동 주의"
0053,식우집,김수온,金守溫,문량,괴애/식우,조선,1409,1481,high,"신미대사의 속가 동생; 불경 언해 사업에 참여"
0054,태허정집,최항,崔恒,정보,태허정,조선,1409,1474,high,"훈민정음 창제 참여 학자; 시호 문정(文靖)"
0055,관란유고,원호,元昊,자허,관란/관란재,조선,1397,1463,high,"생육신의 한 사람; 단종 폐위 후 은거"
0056,눌재집,양성지,梁誠之,순부,눌재/송파,조선,1415,1482,high,"호 訥齋(눌재)는 16세기 문신 박상(朴祥,1474~1530)도 사용했으나, 시기상 15세기 인물인 양성지가 해당 문집총간(제9집)의 저자로 확인됨"
0057,저헌집,이석형,李石亨,백옥,저헌,조선,1415,1477,high,"삼장원(三壯元) 급제로 유명; 대제학 역임"
0058,박선생유고,박팽년,朴彭年,인수,취금헌,조선,1417,1456,high,"사육신의 한 사람; '박선생유고'는 후대에 존칭을 붙여 편찬한 문집명, 시호 충정(忠正)"
0059,보한재집,신숙주,申叔舟,범옹,보한재/희현당,조선,1417,1475,high,"훈민정음 창제 참여, 영의정 역임; 시호 문충(文忠)"
0060,성근보집,성삼문,成三問,근보,매죽헌,조선,1418,1456,high,"사육신의 한 사람; 문집명 '성근보집'은 그의 자(字) 근보(謹甫)를 딴 것"
0061,사가집,서거정,徐居正,강중,사가정/사가,조선,1420,1488,high,"동문선·동국통감 등 편찬; 시호 문충(文忠)"
0062,어계집,조려,趙旅,주옹,어계,조선,1420,1489,high,"생육신의 한 사람; 단종 폐위 후 낙향하여 절의를 지킴"
0063,삼탄집,이승소,李承召,윤보,삼탄,조선,1422,1484,high,"국조오례의 편찬에 참여; 시호 문간(文簡)"
0064,사숙재집,강희맹,姜希孟,경순,사숙재/국오/만송강,조선,1424,1483,high,"강희안의 동생; 농서 금양잡록의 저자; 시호 문량(文良)"
0065,진일유고,성간,成侃,화중,진일재,조선,1427,1456,high,"성임·성현의 동생; 요절한 문장가"
0066,점필재집,김종직,金宗直,계온,점필재,조선,1431,1492,high,"영남 사림파의 종조(宗祖); 조의제문으로 무오사화의 발단이 됨"
0067,소총유고,홍유손,洪裕孫,여경,소총/광진자,조선,1452,1529,high,"죽림칠현을 자처한 재야 문인; 노비 신분에서 방면됨"
