collection_id,collection_name,poem_seq,title,keyword,category,recipient_raw,candidate_ids
0003,서하선생집,13,贈眉叟,贈,증정,眉叟,0121;0344
0003,서하선생집,24,贈眉叟弟僧纘之 二首,贈,증정,眉叟弟僧纘之,0121;0344
0003,서하선생집,25,贈眉叟弟僧纘之 二首 其二,贈,증정,眉叟弟僧纘之,0121;0344
0003,서하선생집,118,送眉叟,送,송별,眉叟,0121;0344
0003,서하선생집,140,寄眉叟求草書 公舅崔司業永濡不一焉,寄,기증,眉叟求草書 公舅崔司業永濡不,0121;0344
0004,동국이상국집,39,次韻東皐子用杜牧韻。憶德全。,次韻,차운,東皐子用杜牧,0091;0141;0158;0215
0004,동국이상국집,84,七月十日曉吟有感。示東皐子。,示,서간,東皐子,0091;0141;0215
0004,동국이상국집,240,次韻東皐子還古雪中見訪,次韻,차운,東皐子還古雪中見訪,0091;0141;0215
0004,동국이상국집,597,大醉走筆。示東皐子。,示,서간,東皐子,0091;0141;0215
0004,동국이상국집,744,問謫仙行。贈內翰李眉叟坐上作。,贈,증정,內翰李眉叟坐上,0121;0344
0004,동국이상국집,806,次韻金大年贈妓 幷序,次韻,차운,金大年贈妓 幷,0248;0476
0004,동국이상국집,892,次韻李侍郎眉叟寄權博士敬仲責辟糓 三首,次韻,차운,李侍郎眉叟寄權博士敬仲責辟糓,0121;0179;0344
0004,동국이상국집,893,次韻李侍郎眉叟寄權博士敬仲責辟糓 三首 其二,次韻,차운,李侍郎眉叟寄權博士敬仲責辟糓,0121;0179;0344
0004,동국이상국집,894,次韻李侍郎眉叟寄權博士敬仲責辟糓 三首 其三,次韻,차운,李侍郎眉叟寄權博士敬仲責辟糓,0121;0179;0344
0004,동국이상국집,1018,八月十四日。拜先壙後題巖泉。示李補闕百順。,示,서간,李補闕百順,0534;0552
0004,동국이상국집,1083,靈通寺其首座方丈。次韻李郞中百順賦雨中紫牡丹。,次韻,차운,李郞中百順賦雨中紫牡丹,0534;0552
0004,동국이상국집,1084,靈通寺其首座方丈。次韻李郞中百順賦雨中紫牡丹。 其二,次韻,차운,李郞中百順賦雨中紫牡丹,0534;0552
0006,남양시집,28,冬夜會飮王輪寺西院。次李春卿韻。二首,次,차운,李春卿,0004;0253;0422
0006,남양시집,29,冬夜會飮王輪寺西院。次李春卿韻。二首 其二,次,차운,李春卿,0004;0253;0422
0011,익재난고,37,送從兄君實典籤赴任三陟 追錄,送,송별,從兄君實典籤赴任,0156;0384
0013,급암집,193,贈張訥齋 沆,贈,증정,張訥齋 沆,0056;0104
0014,가정집,123,辛巳夏。入都寄張訥齋。,寄,기증,張訥齋,0056;0104
0014,가정집,304,寄安謙齋,寄,기증,安謙齋,0243;0342;0476
0014,가정집,353,寄訥齋,寄,기증,訥齋,0056;0104
0016,제정집,63,次李稼亭 穀 平海越松亭韻,次,차운,李稼亭 穀 平海越松亭,0014;0255
0018,둔촌잡영,9,寄敬之,寄,기증,敬之,0026;0035
0018,둔촌잡영,10,次敬之舟次詩韻,次,차운,敬之舟次,0026;0035
0018,둔촌잡영,11,次敬之舟次詩韻 其二,次,차운,敬之舟次,0026;0035
0018,둔촌잡영,12,病中寄敬之,寄,기증,敬之,0026;0035
0018,둔촌잡영,13,七夕寄敬之,寄,기증,敬之,0026;0035
0018,둔촌잡영,14,淨土寺留別敬之,留別,송별,敬之,0026;0035
0018,둔촌잡영,15,淨土寺留別敬之 其二,留別,송별,敬之,0026;0035
0018,둔촌잡영,21,次敬之韻,次,차운,敬之,0026;0035
0018,둔촌잡영,22,次敬之韻 其二,次,차운,敬之,0026;0035
0018,둔촌잡영,23,次敬之韻 其三,次,차운,敬之,0026;0035
0018,둔촌잡영,24,次敬之韻 其四,次,차운,敬之,0026;0035
0018,둔촌잡영,35,寄敬之,寄,기증,敬之,0026;0035
0018,둔촌잡영,36,寄敬之 其二,寄,기증,敬之,0026;0035
0018,둔촌잡영,37,寄敬之 其三,寄,기증,敬之,0026;0035
0018,둔촌잡영,58,寄賀朴中書子虛,寄,기증,賀朴中書子虛,0048;0055;0284
0018,둔촌잡영,59,贈金敬之,贈,증정,金敬之,0026;0035
0018,둔촌잡영,185,次韻呈子虛先生,次韻,차운,呈子虛先生,0048;0055;0284
0018,둔촌잡영,185,次韻呈子虛先生,呈,증정,子虛先生,0048;0055;0284
0018,둔촌잡영,187,呈陶隱 請題詩遁村卷,呈,증정,陶隱 請題詩遁村卷,0018;0034
0018,둔촌잡영,212,病中寄敬之,寄,기증,敬之,0026;0035
0018,둔촌잡영,241,立秋日寄敬之,寄,기증,敬之,0026;0035
0018,둔촌잡영,242,病中寄敬之,寄,기증,敬之,0026;0035
0018,둔촌잡영,243,淨土寺留別敬之,留別,송별,敬之,0026;0035
0018,둔촌잡영,244,寄敬之,寄,기증,敬之,0026;0035
0020,목은집,612,次金月塘所寄詩韻 臺卿字仲始,次,차운,金月塘所寄詩韻 臺卿字仲始,0221;0323
0020,목은집,613,次金月塘所寄詩韻 臺卿字仲始 其二,次,차운,金月塘所寄詩韻 臺卿字仲始,0221;0323
0020,목은집,614,次金月塘所寄詩韻 臺卿字仲始 其三,次,차운,金月塘所寄詩韻 臺卿字仲始,0221;0323
0020,목은집,615,次金月塘所寄詩韻 臺卿字仲始 其四,次,차운,金月塘所寄詩韻 臺卿字仲始,0221;0323
0020,목은집,616,次金月塘所寄詩韻 臺卿字仲始 其五,次,차운,金月塘所寄詩韻 臺卿字仲始,0221;0323
0020,목은집,620,次金月塘立秋所寄詩韻,次,차운,金月塘立秋所寄,0221;0323
0020,목은집,1139,送金伯玉省親 爾音,送,송별,金伯玉省親 爾音,0057;0226;0515
0021,원재고,233,寄呈權贊成奉使大明行軒 仲和,呈,증정,權贊成奉使大明行軒 仲和,0435;0481
0021,원재고,233,寄呈權贊成奉使大明行軒 仲和,寄,기증,呈權贊成奉使大明行軒 仲和,0435;0481
0022,송은집,5,和圃隱紫硯韻 附次 李牧隱 穡,和,화답,圃隱紫硯韻 附次 李牧隱 穡,0020;0025
0022,송은집,15,和圃隱 附次 牧隱,和,화답,圃隱 附次 牧隱,0020;0025
0023,유향시집,134,奉送仲文相國赴雞林尹。三首。,奉送,송별,仲文相國赴雞林尹,0040;0372
0023,유향시집,134,奉送仲文相國赴雞林尹。三首。,送,송별,仲文相國赴雞林尹,0040;0372
0023,유향시집,135,奉送仲文相國赴雞林尹。三首。 其二,奉送,송별,仲文相國赴雞林尹,0040;0372
0023,유향시집,135,奉送仲文相國赴雞林尹。三首。 其二,送,송별,仲文相國赴雞林尹,0040;0372
0023,유향시집,136,奉送仲文相國赴雞林尹。三首。 其三,奉送,송별,仲文相國赴雞林尹,0040;0372
0023,유향시집,136,奉送仲文相國赴雞林尹。三首。 其三,送,송별,仲文相國赴雞林尹,0040;0372
0025,포은집,282,次敬之韻贈三峯,次,차운,敬之韻贈,0026;0035
0026,척약재학음집,320,寄伯玉,寄,기증,伯玉,0057;0226;0515
0027,독곡집,107,次石泉軒浩亭韻 號無得,次,차운,石泉軒浩亭韻 號無得,0033;0595
0027,독곡집,246,次松巖詩卷韻,次,차운,松巖詩卷,0189;0229;0461
0031,쌍매당협장집,183,庚辰冬十一月日。早發安州。次趙相國松堂詩。,次,차운,趙相國松堂,0032;0098
0034,도은집,130,送金伯玉歸安東,送,송별,金伯玉歸安東,0057;0226;0515
0034,도은집,286,送金若齋敬之,送,송별,金若齋敬之,0026;0035
0036,양촌집,701,次復齋贈安養詩韵,次,차운,復齋贈安養詩韵,0039;0124
0036,양촌집,723,次松堂趙政丞韵 二首○浚,次,차운,松堂趙政丞韵,0032;0098
0036,양촌집,724,次松堂趙政丞韵 二首○浚 其二,次,차운,松堂趙政丞韵,0032;0098
0038,야은집,10,次圃隱朴松隱畫像韻,次,차운,圃隱朴松隱畫像,0022;0025
0043,춘정집,500,寄題澄心菴 章謹寺丞叔文章同聞。結菴采石江頭。自號澄心菴。,寄,기증,題澄心菴 章謹寺丞叔文章同聞,0547;0625
0044,별동집,102,送權 孝伯 承召,送,송별,權 孝伯 承召,0305;0466
0048,정재일고,37,碧堤送李友 賀朴中書子虛 李遁村集,送,송별,李友 賀朴中書子虛 李遁村集,0018;0048;0055;0284
0050,태재집,211,寄趙子敬 二首,寄,기증,趙子敬,0127;0421;0482
0050,태재집,212,寄趙子敬 二首 其二,寄,기증,趙子敬,0127;0421;0482
0050,태재집,343,寄趙子敬,寄,기증,趙子敬,0127;0421;0482
0050,태재집,608,輓盧政丞 閈 妻貞敬夫人閔氏,輓,만사,盧政丞 閈 妻貞敬夫人閔氏,0045;0176;0576
0053,식우집,106,次子固驪江亭韻,次,차운,子固驪江亭,0207;0509
0054,태허정집,207,次海雲臺韻,次,차운,海雲臺,0001;0002
0057,저헌집,249,奉和敬甫先生韻 奉呈伯玉先生 吉甫,奉和,화답,敬甫先生韻 奉呈伯玉先生 吉,0057;0226;0515
0057,저헌집,249,奉和敬甫先生韻 奉呈伯玉先生 吉甫,奉呈,증정,伯玉先生 吉甫,0057;0226;0373;0515
0057,저헌집,249,奉和敬甫先生韻 奉呈伯玉先生 吉甫,和,화답,敬甫先生韻 奉呈伯玉先生 吉,0057;0226;0515
0057,저헌집,249,奉和敬甫先生韻 奉呈伯玉先生 吉甫,呈,증정,伯玉先生 吉甫,0057;0226;0373;0515
0057,저헌집,321,次吉甫見寄 奉間簡伯玉，敬甫兩候 。吉甫,次,차운,吉甫見寄 奉間簡伯玉,0057;0226;0373;0515
0057,저헌집,321,次吉甫見寄 奉間簡伯玉，敬甫兩候 。吉甫,寄,기증,奉間簡伯玉,0057;0226;0515
0057,저헌집,321,次吉甫見寄 奉間簡伯玉，敬甫兩候 。吉甫,簡,서간,伯玉,0057;0226;0515
0059,보한재집,78,寄京圻監司李伯玉 曾有巡還共飮之約。適花川死。故詩云。,寄,기증,京圻監司李伯玉 曾有巡還共飮,0057;0226;0515
0059,보한재집,251,夜直有感。次崔孤雲韻。,次,차운,崔孤雲,0001;0002
0059,보한재집,427,呈刑曹參判李伯玉,呈,증정,刑曹參判李伯玉,0057;0226;0515
0059,보한재집,714,題送日本使僧海雲詩卷,送,송별,日本使僧海雲詩卷,0001;0002
0059,보한재집,715,題送日本使僧海雲詩卷 其二,送,송별,日本使僧海雲詩卷,0001;0002
0059,보한재집,716,題送日本使僧海雲詩卷 其三,送,송별,日本使僧海雲詩卷,0001;0002
0059,보한재집,717,題送日本使僧海雲詩卷 其四,送,송별,日本使僧海雲詩卷,0001;0002
0059,보한재집,788,戲次李伯玉惜花詩韻,次,차운,李伯玉惜花,0057;0226;0515
0059,보한재집,789,戲次李伯玉惜花詩韻 其二,次,차운,李伯玉惜花,0057;0226;0515
0059,보한재집,790,戲次李伯玉惜花詩韻 其三,次,차운,李伯玉惜花,0057;0226;0515
0061,사가집,53,春闈已逼。書懷示太初。,示,서간,太初,0287;0523
0061,사가집,86,雪後有興。題寄太初德輿兩集賢。,寄,기증,太初德輿兩集賢,0287;0523
0061,사가집,665,儤直書懷。寄梁純夫誠之。,寄,기증,梁純夫誠之,0056;0132
0061,사가집,996,送日本僧海雲 五首,送,송별,日本僧海雲,0001;0002
0061,사가집,997,送日本僧海雲 五首 其二,送,송별,日本僧海雲,0001;0002
0061,사가집,998,送日本僧海雲 五首 其三,送,송별,日本僧海雲,0001;0002
0061,사가집,999,送日本僧海雲 五首 其四,送,송별,日本僧海雲,0001;0002
0061,사가집,1000,送日本僧海雲 五首 其五,送,송별,日本僧海雲,0001;0002
0061,사가집,1578,用前韻。又寄子固。,寄,기증,子固,0207;0509
0061,사가집,1672,復次子固韻,次,차운,子固,0207;0509
0061,사가집,1695,再寄子固,寄,기증,子固,0207;0509
0061,사가집,1696,再寄子固 其二,寄,기증,子固,0207;0509
0061,사가집,1697,再寄子固 其三,寄,기증,子固,0207;0509
0061,사가집,1698,再寄子固 其四,寄,기증,子固,0207;0509
0061,사가집,1705,苦熱朝罷。起賞蓮之興。寄子固。,寄,기증,子固,0207;0509
0061,사가집,1707,十一日夜。與吳居士，蔡子休。同訪子固家。賞蓮聯句。遲明還家有作。錄示吳君。幷寄子固。,寄,기증,子固,0207;0509
0061,사가집,1708,十一日夜。與吳居士，蔡子休。同訪子固家。賞蓮聯句。遲明還家有作。錄示吳君。幷寄子固。 其二,寄,기증,子固,0207;0509
0061,사가집,1713,再用前韻。寄子固，子休，吳居士三君子。二首,寄,기증,子固,0207;0509
0061,사가집,1714,再用前韻。寄子固，子休，吳居士三君子。二首 其二,寄,기증,子固,0207;0509
0061,사가집,1833,去年六月十三日。與吳居士，蔡子休。賞蓮子固家。今日正當十三日。追憶往事。吟成數絶。錄示子固。四首,示,서간,子固,0207;0509
0061,사가집,1834,去年六月十三日。與吳居士，蔡子休。賞蓮子固家。今日正當十三日。追憶往事。吟成數絶。錄示子固。四首 其二,示,서간,子固,0207;0509
0061,사가집,1835,去年六月十三日。與吳居士，蔡子休。賞蓮子固家。今日正當十三日。追憶往事。吟成數絶。錄示子固。四首 其三,示,서간,子固,0207;0509
0061,사가집,1836,去年六月十三日。與吳居士，蔡子休。賞蓮子固家。今日正當十三日。追憶往事。吟成數絶。錄示子固。四首 其四,示,서간,子固,0207;0509
0061,사가집,1884,有懷寄子固,寄,기증,子固,0207;0509
0061,사가집,1944,送金子固赴韓相幕 二首,送,송별,金子固赴韓相幕,0207;0509
0061,사가집,1945,送金子固赴韓相幕 二首 其二,送,송별,金子固赴韓相幕,0207;0509
0061,사가집,1957,送金子固赴韓元戎幙下,送,송별,金子固赴韓元戎幙下,0207;0509
0061,사가집,1965,送金子固爲西北從事官,送,송별,金子固爲西北從事官,0207;0509
0061,사가집,1967,恩津東軒。次李伯玉 石亨字伯玉 詩韻。,次,차운,李伯玉 石亨字伯玉,0057;0226;0515
0061,사가집,2164,春風謌。送明仲之燕京。,送,송별,明仲之燕京,0032;0120;0162;0469
0061,사가집,2232,次韻子固端午見寄 二首,次韻,차운,子固端午,0207;0509
0061,사가집,2233,次韻子固端午見寄 二首 其二,次韻,차운,子固端午,0207;0509
0061,사가집,2267,次韻子固 四首,次韻,차운,子固,0207;0509
0061,사가집,2268,次韻子固 四首 其二,次韻,차운,子固,0207;0509
0061,사가집,2269,次韻子固 四首 其三,次韻,차운,子固,0207;0509
0061,사가집,2270,次韻子固 四首 其四,次韻,차운,子固,0207;0509
0061,사가집,2400,壬午秋七月旣望。與辛 肅 敬叔，蔡 申保 子休，楊 子淳 質夫，金 紐 子固。同遊廣津。相與言曰。壬戌之秋七月旣望。乃蘇子赤壁之遊日也。吾輩年齒俱暮。欲復見壬戌。必不可得。今年適壬。時又七月旣望。會合又在廣津石壁之下。世間能有此日。亦難再得。相與劇飮而罷。今日亦七月旣望。我輩各因仕宦。分散東西。僕又纏疾病。杜門高臥。追思往日廣津之會。悵然有作。寄子固。,寄,기증,子固,0207;0509
0061,사가집,2668,三月三日。題示金子固。,示,서간,金子固,0207;0509
0061,사가집,2669,三月三日。題示金子固。,示,서간,金子固,0207;0509
0061,사가집,3273,三月三日。題寄子固。二首,寄,기증,子固,0207;0509
0061,사가집,3274,三月三日。題寄子固。二首 其二,寄,기증,子固,0207;0509
0061,사가집,3277,次韻子固見寄 二首,次韻,차운,子固,0207;0509
0061,사가집,3278,次韻子固見寄 二首 其二,次韻,차운,子固,0207;0509
0061,사가집,3299,次韻金子固見寄 三首,次韻,차운,金子固,0207;0509
0061,사가집,3300,次韻金子固見寄 三首 其二,次韻,차운,金子固,0207;0509
0061,사가집,3301,次韻金子固見寄 三首 其三,次韻,차운,金子固,0207;0509
0061,사가집,3302,次韻金子固見寄 三首 其四,次韻,차운,金子固,0207;0509
0061,사가집,3303,次韻金子固見寄 三首 其五,次韻,차운,金子固,0207;0509
0061,사가집,3304,次韻金子固見寄 三首 其六,次韻,차운,金子固,0207;0509
0061,사가집,3814,再遊廣津伯仲寺。次柳太初韻。自註。少與成重卿，柳太初，李之安，李升卿。遊伯仲寺。有是作。計今四十年。今年秋。重脩是寺。有僧於楣間。得是詩見示。感念疇昔。遂錄家橐云。,次,차운,柳太初,0287;0523
0061,사가집,3820,登俊試同年。會金子固家。以病未赴。述懷寄子固以戲。二首,寄,기증,子固以戲,0207;0509
0061,사가집,3821,登俊試同年。會金子固家。以病未赴。述懷寄子固以戲。二首 其二,寄,기증,子固以戲,0207;0509
0061,사가집,3928,商山君黃公 孝源，同知中樞金公 紐，僉樞卞公 袍 來訪。開小酌盡懽。且復聯句。明日。吟成近體一首。錄寄子固金公。,寄,기증,子固金公,0207;0509
0061,사가집,4273,九月初八日。獨酌。寄子固。三首,寄,기증,子固,0207;0509
0061,사가집,4274,九月初八日。獨酌。寄子固。三首 其二,寄,기증,子固,0207;0509
0061,사가집,4275,九月初八日。獨酌。寄子固。三首 其三,寄,기증,子固,0207;0509
0061,사가집,4384,寄金子固,寄,기증,金子固,0207;0509
0061,사가집,4499,端午書懷。寄金子固。,寄,기증,金子固,0207;0509
