author_id,author_name,recipient_id,recipient_name,category,count,contemporary_status,author_years,recipient_years
0341,이경석,0140,조욱,차운,34,non_contemporary,1595-1671,1498-1557
0567,이동급,0090,신용개,차운,30,non_contemporary,1738-1811,1463-1519
0401,민유중,0129,민제인,차운,29,non_contemporary,1630-1687,1493-1549
0476,조태억,0246,곽재우,차운,25,non_contemporary,1675-1728,1552-1617
0113,김안로,0348,김휴,차운,24,impossible,1481-1537,1597-1638
0103,김극성,0426,김간,차운,22,impossible,1474-1540,1646-1732
0597,정약용,0363,윤문거,차운,22,non_contemporary,1762-1836,1606-1672
0374,박장원,0144,이황,차운,21,non_contemporary,1612-1671,1501-1570
0004,이규보,0338,윤순지,차운,20,impossible,1168-1241,1591-1666
0265,유몽인,0434,최규서,차운,20,impossible,1559-1623,1650-1735
0507,조현명,0333,장유,차운,20,non_contemporary,1691-1752,1587-1638
0567,이동급,0279,정경세,차운,20,non_contemporary,1738-1811,1563-1633
0061,서거정,0006,백분화,차운,18,non_contemporary,1420-1488,1179-1224
0057,이석형,0373,윤선거,차운,17,impossible,1415-1477,1610-1669
0108,김안국,0337,이민구,차운,16,impossible,1478-1543,1589-1670
0113,김안로,0337,이민구,차운,16,impossible,1481-1537,1589-1670
0144,이황,0337,이민구,차운,16,impossible,1501-1570,1589-1670
0476,조태억,0025,정몽주,차운,16,non_contemporary,1675-1728,1337-1392
0122,심언광,0359,황호,차운,15,impossible,1487-1540,1604-1656
0452,김창업,0179,조목,차운,15,non_contemporary,1658-1721,1524-1606
0465,채팽윤,0144,이황,차운,15,non_contemporary,1669-1731,1501-1570
0109,이행,0348,김휴,차운,14,impossible,1478-1534,1597-1638
0187,구사맹,0083,조위,차운,14,non_contemporary,1531-1604,1454-1503
0549,정범조,0337,이민구,차운,14,non_contemporary,1723-1801,1589-1670
0445,이희조,0125,이언적,차운,13,non_contemporary,1655-1724,1491-1553
0476,조태억,0292,허균,차운,13,non_contemporary,1675-1728,1569-1618
0063,이승소,0394,이단상,차운,12,impossible,1422-1484,1628-1669
0214,이성중,0608,김매순,차운,12,impossible,1539-1593,1776-1840
0379,이은상,0148,홍섬,차운,12,non_contemporary,1617-1678,1504-1585
0625,조두순,0506,조관빈,차운,12,non_contemporary,1796-1870,1691-1757
0061,서거정,0394,이단상,차운,11,impossible,1420-1488,1628-1669
0376,이건,0090,신용개,차운,11,non_contemporary,1614-1662,1463-1519
0389,김수흥,0020,이색,차운,11,non_contemporary,1626-1690,1328-1396
0400,윤증,0014,이곡,차운,11,non_contemporary,1629-1714,1298-1351
0488,정내교,0062,조려,차운,11,non_contemporary,1681-1759,1420-1489
0507,조현명,0171,김귀영,차운,11,non_contemporary,1691-1752,1520-1593
0043,변계량,0119,소세양,차운,10,impossible,1369-1430,1486-1562
0061,서거정,0350,이상질,차운,10,impossible,1420-1488,1597-1635
0109,이행,0337,이민구,차운,10,impossible,1478-1534,1589-1670
0273,이수광,0434,최규서,차운,10,impossible,1563-1628,1650-1735
0328,최명길,0440,홍세태,차운,10,impossible,1586-1647,1653-1725
0359,황호,0066,김종직,차운,10,non_contemporary,1604-1656,1431-1492
0360,김득신,0168,허엽,차운,10,non_contemporary,1604-1684,1517-1580
0425,최석정,0204,홍성민,차운,10,non_contemporary,1646-1715,1536-1594
0464,이의현,0201,이이,차운,10,non_contemporary,1669-1745,1536-1584
0484,윤봉조,0363,윤문거,차운,10,non_contemporary,1680-1761,1606-1672
0506,조관빈,0333,장유,차운,10,non_contemporary,1691-1757,1587-1638
0506,조관빈,0410,김석주,차운,10,non_contemporary,1691-1757,1634-1684
0579,유득공,0435,김창협,차운,10,non_contemporary,1748-1807,1651-1708
0583,박제가,0363,윤문거,차운,10,non_contemporary,1750-1805,1606-1672
0032,조준,0378,유혁연,차운,9,impossible,1346-1405,1616-1680
0109,이행,0426,김간,차운,9,impossible,1478-1534,1646-1732
0146,최연,0036,권근,차운,9,non_contemporary,1503-1549,1352-1409
0169,황준량,0010,안축,차운,9,non_contemporary,1517-1563,1282-1348
0436,서종태,0014,이곡,차운,9,non_contemporary,1652-1719,1298-1351
0476,조태억,0020,이색,차운,9,non_contemporary,1675-1728,1328-1396
0498,심육,0300,이안눌,차운,9,non_contemporary,1685-1753,1571-1637
0594,성해응,0435,김창협,차운,9,non_contemporary,1760-1839,1651-1708
0605,신위,0292,허균,차운,9,non_contemporary,1769-1845,1569-1618
0655,곽종석,0360,김득신,차운,9,non_contemporary,1846-1919,1604-1684
0063,이승소,0011,이제현,차운,8,non_contemporary,1422-1484,1287-1367
0103,김극성,0014,이곡,차운,8,non_contemporary,1474-1540,1298-1351
0132,송순,0348,김휴,차운,8,impossible,1493-1582,1597-1638
0146,최연,0010,안축,차운,8,non_contemporary,1503-1549,1282-1348
0150,엄흔,0434,최규서,차운,8,impossible,1508-1543,1650-1735
0196,권문해,0544,이복원,차운,8,impossible,1534-1591,1719-1792
0210,김성일,0025,정몽주,차운,8,non_contemporary,1538-1593,1337-1392
0235,성여신,0544,이복원,차운,8,impossible,1546-1632,1719-1792
0289,이경전,0485,이재,차운,8,impossible,1567-1644,1680-1746
0312,목대흠,0595,신작,차운,8,impossible,1575-1638,1760-1828
0313,조희일,0020,이색,차운,8,non_contemporary,1575-1638,1328-1396
0328,최명길,0090,신용개,차운,8,non_contemporary,1586-1647,1463-1519
0400,윤증,0658,김택영,차운,8,impossible,1629-1714,1850-1927
0405,오시수,0496,임상덕,차운,8,impossible,1632-1681,1683-1719
0413,유세명,0062,조려,차운,8,non_contemporary,1636-1690,1420-1489
0511,민우수,0326,이식,차운,8,non_contemporary,1694-1756,1584-1647
0539,이민보,0348,김휴,차운,8,non_contemporary,1717-1799,1597-1638
0554,송환기,0392,민정중,차운,8,non_contemporary,1728-1807,1628-1692
0590,장혼,0170,노진,차운,8,non_contemporary,1759-1828,1518-1578
0615,허전,0165,양사언,차운,8,non_contemporary,1797-1886,1517-1584
0637,이유원,0286,신흠,차운,8,non_contemporary,1814-1888,1566-1628
0642,김평묵,0367,송시열,차운,8,non_contemporary,1819-1891,1607-1689
0660,황현,0440,홍세태,차운,8,non_contemporary,1855-1910,1653-1725
0043,변계량,0557,황윤석,차운,7,impossible,1369-1430,1729-1791
0057,이석형,0350,이상질,차운,7,impossible,1415-1477,1597-1635
0298,이민성,0593,남공철,차운,7,impossible,1570-1629,1760-1840
0374,박장원,0568,박지원,차운,7,impossible,1612-1671,1737-1805
