author_id,author_name,recipient_id,recipient_name,category,count,contemporary_status,author_years,recipient_years
0097,정희량,0083,조위,증정,39,contemporary,1469-1502,1454-1503
0061,서거정,0006,백분화,기증,35,non_contemporary,1420-1488,1179-1224
0059,신숙주,0060,성삼문,서간,32,contemporary,1417-1475,1418-1456
0063,이승소,0070,이륙,차운,31,contemporary,1422-1484,1438-1498
0031,이첨,0033,하륜,차운,25,contemporary,1345-1405,1347-1416
0061,서거정,0064,강희맹,수답,25,contemporary,1420-1488,1424-1483
0066,김종직,0071,홍귀달,화답,24,contemporary,1431-1492,1438-1504
0027,성석린,0037,이행,기증,20,contemporary,1338-1423,1352-1432
0097,정희량,0083,조위,차운,19,contemporary,1469-1502,1454-1503
0023,한수,0020,이색,차운,18,contemporary,1333-1384,1328-1396
0061,서거정,0006,백분화,차운,18,non_contemporary,1420-1488,1179-1224
0075,유호인,0066,김종직,차운,18,contemporary,1445-1494,1431-1492
0059,신숙주,0060,성삼문,차운,17,contemporary,1417-1475,1418-1456
0063,이승소,0064,강희맹,차운,15,contemporary,1422-1484,1424-1483
0027,성석린,0037,이행,증정,14,contemporary,1338-1423,1352-1432
0100,김세필,0056,양성지,화답,14,contemporary,1473-1533,1415-1482
0100,김세필,0056,양성지,차운,14,contemporary,1473-1533,1415-1482
0027,성석린,0033,하륜,차운,13,contemporary,1338-1423,1347-1416
0061,서거정,0064,강희맹,기증,13,contemporary,1420-1488,1424-1483
0061,서거정,0053,김수온,차운,13,contemporary,1420-1488,1409-1481
0059,신숙주,0053,김수온,증정,11,contemporary,1417-1475,1409-1481
0066,김종직,0075,유호인,화답,11,contemporary,1431-1492,1445-1494
0093,권오복,0092,김일손,기증,11,contemporary,1467-1498,1464-1498
0018,이집,0020,이색,증정,10,contemporary,1327-1387,1328-1396
0020,이색,0023,한수,증정,10,contemporary,1328-1396,1333-1384
0026,김구용,0025,정몽주,기증,10,contemporary,1338-1384,1337-1392
0063,이승소,0061,서거정,기증,10,contemporary,1422-1484,1420-1488
0100,김세필,0056,양성지,증정,10,contemporary,1473-1533,1415-1482
0018,이집,0025,정몽주,증정,9,contemporary,1327-1387,1337-1392
0025,정몽주,0018,이집,차운,9,contemporary,1337-1392,1327-1387
0036,권근,0020,이색,차운,9,contemporary,1352-1409,1328-1396
0036,권근,0027,성석린,차운,9,contemporary,1352-1409,1338-1423
0020,이색,0021,정추,차운,8,contemporary,1328-1396,1333-1382
0022,박익,0025,정몽주,화답,8,contemporary,1332-1398,1337-1392
0023,한수,0011,이제현,화답,8,contemporary,1333-1384,1287-1367
0043,변계량,0027,성석린,차운,8,contemporary,1369-1430,1338-1423
0061,서거정,0053,김수온,기증,8,contemporary,1420-1488,1409-1481
0061,서거정,0065,성간,차운,8,contemporary,1420-1488,1427-1456
0061,서거정,0037,이행,송별,8,contemporary,1420-1488,1352-1432
0063,이승소,0061,서거정,차운,8,contemporary,1422-1484,1420-1488
0063,이승소,0011,이제현,차운,8,non_contemporary,1422-1484,1287-1367
0076,김흔,0066,김종직,차운,8,contemporary,1448-1492,1431-1492
0090,신용개,0092,김일손,차운,8,contemporary,1463-1519,1464-1498
0093,권오복,0092,김일손,증정,8,contemporary,1467-1498,1464-1498
0013,민사평,0011,이제현,화답,7,contemporary,1295-1359,1287-1367
0023,한수,0020,이색,수답,7,contemporary,1333-1384,1328-1396
0027,성석린,0033,하륜,기증,7,contemporary,1338-1423,1347-1416
0043,변계량,0036,권근,차운,7,contemporary,1369-1430,1352-1409
0013,민사평,0011,이제현,차운,6,contemporary,1295-1359,1287-1367
0018,이집,0020,이색,차운,6,contemporary,1327-1387,1328-1396
0018,이집,0034,이숭인,증정,6,contemporary,1327-1387,1347-1392
0023,한수,0040,이종학,송별,6,contemporary,1333-1384,1361-1392
0026,김구용,0018,이집,기증,6,contemporary,1338-1384,1327-1387
0031,이첨,0033,하륜,화답,6,contemporary,1345-1405,1347-1416
0033,하륜,0036,권근,차운,6,contemporary,1347-1416,1352-1409
0045,박흥생,0071,홍귀달,차운,6,contemporary,1374-1446,1438-1504
0045,박흥생,0071,홍귀달,증정,6,contemporary,1374-1446,1438-1504
0053,김수온,0056,양성지,증정,6,contemporary,1409-1481,1415-1482
0073,양희지,0076,김흔,화답,6,contemporary,1439-1504,1448-1492
0075,유호인,0087,이종준,송별,6,contemporary,1445-1494,1458-1499
0100,김세필,0056,양성지,기증,6,contemporary,1473-1533,1415-1482
0100,김세필,0045,박흥생,화답,6,non_contemporary,1473-1533,1374-1446
0018,이집,0020,이색,기증,5,contemporary,1327-1387,1328-1396
0025,정몽주,0020,이색,차운,5,contemporary,1337-1392,1328-1396
0035,남재,0038,길재,기증,5,contemporary,1351-1419,1353-1419
0036,권근,0038,길재,차운,5,contemporary,1352-1409,1353-1419
0039,정총,0036,권근,차운,5,contemporary,1358-1397,1352-1409
0060,성삼문,0059,신숙주,화답,5,contemporary,1418-1456,1417-1475
0061,서거정,0065,성간,기증,5,contemporary,1420-1488,1427-1456
0061,서거정,0064,강희맹,증정,5,contemporary,1420-1488,1424-1483
0061,서거정,0064,강희맹,서간,5,contemporary,1420-1488,1424-1483
0064,강희맹,0061,서거정,증정,5,contemporary,1424-1483,1420-1488
0068,최숙정,0072,성현,서간,5,contemporary,1435-1480,1439-1504
0075,유호인,0066,김종직,증정,5,contemporary,1445-1494,1431-1492
0079,표연말,0075,유호인,만사,5,contemporary,1449-1498,1445-1494
0090,신용개,0091,강혼,차운,5,contemporary,1463-1519,1464-1519
0013,민사평,0049,하위지,수답,4,impossible,1295-1359,1412-1456
0013,민사평,0049,하위지,화답,4,impossible,1295-1359,1412-1456
0013,민사평,0011,이제현,증정,4,contemporary,1295-1359,1287-1367
0018,이집,0034,이숭인,기증,4,contemporary,1327-1387,1347-1392
0018,이집,0016,이달충,증정,4,contemporary,1327-1387,1309-1385
0022,박익,0025,정몽주,증정,4,contemporary,1332-1398,1337-1392
0023,한수,0020,이색,화답,4,contemporary,1333-1384,1328-1396
0025,정몽주,0034,이숭인,차운,4,contemporary,1337-1392,1347-1392
0034,이숭인,0036,권근,차운,4,contemporary,1347-1392,1352-1409
0034,이숭인,0025,정몽주,기증,4,contemporary,1347-1392,1337-1392
0036,권근,0037,이행,차운,4,contemporary,1352-1409,1352-1432
0036,권근,0031,이첨,증정,4,contemporary,1352-1409,1345-1405
0036,권근,0045,박흥생,차운,4,contemporary,1352-1409,1374-1446
0036,권근,0031,이첨,차운,4,contemporary,1352-1409,1345-1405
0036,권근,0020,이색,송별,4,contemporary,1352-1409,1328-1396
0043,변계량,0033,하륜,증정,4,contemporary,1369-1430,1347-1416
0053,김수온,0027,성석린,차운,4,contemporary,1409-1481,1338-1423
0057,이석형,0059,신숙주,증정,4,contemporary,1415-1477,1417-1475
0061,서거정,0064,강희맹,차운,4,contemporary,1420-1488,1424-1483
0063,이승소,0064,강희맹,화답,4,contemporary,1422-1484,1424-1483
0063,이승소,0064,강희맹,수답,4,contemporary,1422-1484,1424-1483
0064,강희맹,0053,김수온,증정,4,contemporary,1424-1483,1409-1481
0064,강희맹,0083,조위,증정,4,contemporary,1424-1483,1454-1503
0065,성간,0061,서거정,차운,4,contemporary,1427-1456,1420-1488
0066,김종직,0071,홍귀달,차운,4,contemporary,1431-1492,1438-1504
0066,김종직,0071,홍귀달,송별,4,contemporary,1431-1492,1438-1504
0066,김종직,0071,홍귀달,기증,4,contemporary,1431-1492,1438-1504
0066,김종직,0075,유호인,송별,4,contemporary,1431-1492,1445-1494
0066,김종직,0057,이석형,차운,4,contemporary,1431-1492,1415-1477
0069,김시습,0081,남효온,화답,4,contemporary,1435-1493,1454-1492
0076,김흔,0075,유호인,송별,4,contemporary,1448-1492,1445-1494
0083,조위,0066,김종직,화답,4,contemporary,1454-1503,1431-1492
0083,조위,0097,정희량,차운,4,contemporary,1454-1503,1469-1502
0093,권오복,0092,김일손,차운,4,contemporary,1467-1498,1464-1498
0096,이우,0094,이현보,차운,4,contemporary,1469-1517,1467-1555
0097,정희량,0083,조위,수답,4,contemporary,1469-1502,1454-1503
0100,김세필,0025,정몽주,차운,4,non_contemporary,1473-1533,1337-1392
0015,정포,0065,성간,서간,3,impossible,1309-1345,1427-1456
0016,이달충,0011,이제현,차운,3,contemporary,1309-1385,1287-1367
0018,이집,0034,이숭인,차운,3,contemporary,1327-1387,1347-1392
0018,이집,0025,정몽주,차운,3,contemporary,1327-1387,1337-1392
0020,이색,0025,정몽주,송별,3,contemporary,1328-1396,1337-1392
0020,이색,0021,정추,기증,3,contemporary,1328-1396,1333-1382
0020,이색,0031,이첨,기증,3,contemporary,1328-1396,1345-1405
0021,정추,0020,이색,차운,3,contemporary,1333-1382,1328-1396
0022,박익,0020,이색,차운,3,contemporary,1332-1398,1328-1396
0022,박익,0048,박의중,화답,3,contemporary,1332-1398,1337-1403
0027,성석린,0037,이행,차운,3,contemporary,1338-1423,1352-1432
0027,성석린,0033,하륜,증정,3,contemporary,1338-1423,1347-1416
0034,이숭인,0025,정몽주,증정,3,contemporary,1347-1392,1337-1392
0036,권근,0034,이숭인,차운,3,contemporary,1352-1409,1347-1392
0036,권근,0045,박흥생,수답,3,contemporary,1352-1409,1374-1446
0042,이원,0043,변계량,차운,3,contemporary,1368-1429,1369-1430
0047,하연,0058,박팽년,차운,3,contemporary,1376-1453,1417-1456
0059,신숙주,0057,이석형,차운,3,contemporary,1417-1475,1415-1477
0061,서거정,0058,박팽년,차운,3,contemporary,1420-1488,1417-1456
0061,서거정,0060,성삼문,서간,3,contemporary,1420-1488,1418-1456
0061,서거정,0060,성삼문,기증,3,contemporary,1420-1488,1418-1456
0061,서거정,0053,김수온,증정,3,contemporary,1420-1488,1409-1481
0064,강희맹,0083,조위,차운,3,contemporary,1424-1483,1454-1503
0066,김종직,0068,최숙정,차운,3,contemporary,1431-1492,1435-1480
0066,김종직,0083,조위,송별,3,contemporary,1431-1492,1454-1503
0066,김종직,0082,정수강,증정,3,contemporary,1431-1492,1454-1527
0066,김종직,0075,유호인,차운,3,contemporary,1431-1492,1445-1494
0069,김시습,0053,김수온,화답,3,contemporary,1435-1493,1409-1481
0076,김흔,0073,양희지,송별,3,contemporary,1448-1492,1439-1504
0081,남효온,0024,정도전,차운,3,non_contemporary,1454-1492,1342-1398
0083,조위,0020,이색,차운,3,non_contemporary,1454-1503,1328-1396
0085,이식,0036,권근,송별,3,non_contemporary,1458-1489,1352-1409
0090,신용개,0018,이집,송별,3,non_contemporary,1463-1519,1327-1387
0100,김세필,0094,이현보,화답,3,contemporary,1473-1533,1467-1555
