recipient_raw,count
詞,264
章,137
進,112
前,93
人,65
君度,59
友人,56
李次公,53
別,50
匪懈堂,48
韶,44
韵,43
板上,41
辭,40
公,39
叔強,38
絶句,37
奉答,36
李 達,36
春,35
諸公,34
子固,34
酒軒,33
答之,32
日休,32
奉呈,31
左右,30
上黨韓公奉使朝京,30
呈,28
唱,28
行,28
子美,28
正中,27
似,26
文淵,25
壁上,24
李侍郞,24
云,24
僧,24
陽谷,24
鍾陵山居,24
次韶,24
示,22
鄭,22
峻上人,22
大虛,22
贈,21
洪日休,21
書狀,21
拙,20
民望待制,20
呈民望待制,20
銀臺諸學士詠梅詩韵,20
永川君遊長源亭,20
淵明飮酒,20
子文,19
敬甫,19
酒,17
愚谷,17
蔡子休,17
尙,16
李平章 仁植 虔州,16
霞隱,16
金毫隱,16
鄭子文,16
洪益城,16
敎,16
酒軒枕流堂諸景,16
君式,16
余之,16
魚子游東州道院,16
和白樂天病中,15
白樂天病中,15
近所爲詩數篇,15
韓山君,15
武溪酬唱,15
御製望遠亭,15
箕叟,15
內省諸郞,14
李,14
詩云,14
吉甫,14
仲,14
蕃仲,14
伯氏,14
集賢諸公,14
狎鷗亭御製,14
希籍,14
客,13
錄呈,13
寧城,13
淡叟,13
成重卿,13
永安節度使魚相國 有沼,13
勿翁,13
叔,13
呈似,12
家兄,12
宗工鄭相國,12
來,12
省郞諸兄,12
李斗岾,12
友,12
姜晉山,12
御製,12
子休,12
尹叔保,12
麻川子陪申左相遊西湖,12
御製狎鷗亭詩 幷,12
御製狎鷗亭,12
獻紅旗侍胥,12
叔度,12
金使相季昷按湖南,12
徐達城,12
琴軒,12
朴評事 英健 赴寧邊幕,12
古人,11
成,11
家君,11
所,11
詩累篇,11
漁隱,11
權吉昌,11
東軒,11
吳同隣,11
金子固,11
武靈,11
孫,11
郡守曺君 大虛,11
呈郡守曺君 大虛,11
枕流堂,11
退溪,11
曺,11
季文,11
季文寄余之,11
李學士 百全,10
寄,10
桃梨,10
安康李先生,10
予去年蔚州所作東萊,10
鐵州,10
同館諸公,10
族叔金史官㺶,10
籌室,10
東亭,10
康節邵先生春郊,10
半刺先生,10
予詩累,10
領議政河公 崙 感興,10
廣州牧使安 魯生,10
御製邀上王賞蓮,10
金牧使,10
吳隣兄,10
次公,10
吉昌權相公,10
岑上人,10
淸寒,10
諸先生,10
洪兼司成翁字,10
洪司成,10
永川卿遊長源亭,10
府相李韓山,10
正使韻 開城小詠,10
正使朝鮮雜詠,10
世蕃,10
金僉樞,10
淸心樓,10
雲錦樓,10
同年江陵府使曺 淑沂,10
東坡用歸去來辭集字,10
崔台甫先生,10
達城相公漢都,10
文淵之襄陽,10
文淵之遊嶺南,10
金克儉 士廉,10
李希剛 長坤 出鎭西塞,10
山舍從學諸生,10
贈山舍從學諸生,10
主人,9
答,9
茶,9
寄曆,9
曆,9
前詩來贈,9
諸君所賦山呼亭牡丹 幷,9
河郞中,9
詩 幷,9
遠,9
座下,9
諸生,9
松菌,9
歌,9
半刺先生所示淮陽府使李恒,9
淮陽府使李恒,9
義州板上,9
權參議,9
明谷上人,9
全州東軒,9
工部,9
永川卿,9
洪吏部,9
洪節度 伯涓 之鎭,9
日本使僧正球首座,9
金大猷,9
伯仁,9
書狀秋懷,9
韓都事 健 還湖南,9
與齡還晉山,9
酒軒示,9
以禮,9
峽中,9
惠文長老水多寺,8
寺,8
贈之,8
李相國復和虔州,8
虔州,8
復和李相國,8
李相國,8
朴石齋,8
行軒,8
張生,8
金同年,8
鄭仲孚蔚州,8
樓,8
安密直歸山,8
李政堂,8
韓同年,8
金,8
松軒,8
先生,8
韓山君所示,8
座上諸公,8
道境,8
前牧伯鄭公,8
崔典書服盡還朝,8
羅判事使日東 本官上章自行,8
陶,8
鄭 宗誠,8
李參議 孝仁,8
城宰舅氏,8
密山漁叟朴 撝謙,8
南秀才,8
權正卿,8
洪麻川,8
求和,8
沈判閣別墅詩卷,8
別燈谷祖上人還山,8
副使,8
吉昌相公,8
李僉正,8
福慶,8
永川卿林亭,8
北京,8
希哂,8
專師,8
贈專師,8
士廉,8
金使相宗直按湖南,8
朴艮甫,8
李檢詳 顆 赴京,8
留守相公,8
韓幼公氷新莊,8
曺 大虛 西都,8
成監司 俶 出按慶尙道,8
御製宮中,8
達城相公題冏上人山中,8
獻之,8
魚灌圃子游,8
碧蹄別,8
兩君,8
耆叟舍人,8
堂頭,7
朴學士揔和前,7
李侍郞復,7
題,7
李柳兩令公唱和詩 幷,7
伯父,7
酬韓山君,7
爲,7
李大提學領完山日所寄,7
扇,7
新及第邊 處厚 所寄,7
金敎授口號,7
野堂,7
巖遁,7
東窓,7
頤齋及金代言,7
西坡子,7
高,7
上河東府院君,7
晉山君,7
之衢,7
李監正 仁全,7
日本僧,7
申司成兄,7
以送,7
李德輿,7
秦寶城,7
金浩生詩卷 幷小敍,7
戲呈寧城,7
行詩卷,7
幾仲,7
任子深,7
吳居士,7
平仲,7
守伊上人住松廣寺,7
日本釋子,7
權花川赴燕京,7
東坡,7
藏義寺讀書諸公,7
李節度季童鎭鏡城,7
山中道人,7
希尹,7
丁不騫,7
朴伯仁,7
金近仁,7
兩天使,7
百源,7
校理申 次韶,7
中,7
大虛 之關東,7
日本僧杏林亭,7
安子挺,7
仲仁,7
玄山居士,7
使相,7
玉汝,7
綏之歸中原村莊,7
京畿都事黃君,7
謝魚子游惠貺,7
嶺伯金玉耳 璫,7
東峯居士,7
李斯立 鶚 韻 謫巨濟時作○,7
座主尙書避難過維陽寵示,6
希朗和尙,6
湛之,6
崔相國詵和黃郞中題朴內園家盆,6
之什,6
奉寄,6
書,6
歐陽,6
李侍郞復和桃梨,6
河郞中見和復惠之,6
復惠之,6
河郞中復,6
答家兄,6
唐,6
○本集,6
座主陽坡先生北山途中所,6
呈座下,6
鐵原侍中座下,6
韓孟雲,6
西隣,6
煕菴大司徒,6
賞蓮,6
兩君子,6
海隱先生,6
呈海隱先生,6
日本文溪禪人還歸,6
偰刺史寄道境,6
半官先生山城反庫次有感,6
泥村李居士,6
李居士所贈,6
楊半刺對葵吟,6
民望,6
答安注書,6
安注書,6
平田詩卷末,6
樂甫李學士來座下,6
中慮,6
次,6
古,6
李迂齋,6
徐學生,6
尹觀察 弼商○,6
監司,6
醴泉懸板,6
穩城東軒,6
洪日休游津寬洞後賡金浩生詩卷,6
洪麻川韻 解在前篇下題,6
次秦寶城,6
泰安東軒,6
唱 庚午○見倪馬皇華集 次,6
忍上人,6
金察訪 崇老 還水站,6
座上,6
日休陪左相遊西湖,6
沈判事 璿 豐壤別墅,6
申左相,6
吳,6
李之安,6
崔同年彥甫,6
行軒云,6
李安撫同年,6
江原朴觀察使 楗,6
盧贊成 思愼○,6
別詩幷,6
公兩先生,6
永川公子,6
逍遙亭,6
金留守 自貞○,6
李玉如,6
逍遙亭權兄,6
曹咸陽 偉,6
柳正郞 陽春 還鄕,6
日本僧送元鷟,6
元鷟,6
李直講 孟智,6
百祥樓,6
正使,6
朴判書 元亨,6
永川卿遊松都,6
御製樂府,6
人奉使日本,6
李中樞 約東,6
仁齋,6
玉堂諸先生,6
李太學士平仲,6
安東趙敎授,6
贈安東趙敎授,6
善源,6
彥升,6
晉山相公,6
士孝,6
子俊,6
李留守 約東,6
正上人,6
柳公薈,6
靖節勸農,6
靖節答龐 參軍,6
龐 參軍,6
江陵東軒,6
艮甫,6
金士廉,6
江原都事丁不崩 壽岡 朝京且,6
權叔強,6
御廚珍果,6
崔浪仙,6
風月亭韻 代人,6
日本僧元鷟詩軸,6
朴彬可,6
健叔之咸陽,6
兼之,6
崔次玉,6
崔觀察使子眞 淑生,6
君度示,6
呈君度,6
人遊松都,6
瑞山樓題,6
李希醇 名繼孟,6
丁不崩,6
相國,6
顆之韻 李顆,6
季敍之,6
仲擧,6
金秀才,5
全履之,5
太守,5
新賃草屋,5
寄之,5
詩也,5
金侍郞敞和朴拾遺文秀題公所蓄,5
朴拾遺文秀題公所蓄畫牡丹,5
像,5
愚谷先生 後,5
父,5
鄭仲孚遊杭州謁丞相,5
示同里諸君,5
同里諸君,5
思菴,5
葵軒,5
金月塘所寄詩韻 臺卿字仲始,5
詩韻 臺卿字仲始,5
安政堂,5
韓簽書,5
新米,5
也,5
偈曰,5
李秀才就赴安東書記,5
忠州諸君酬唱,5
給事中兩鎭撫,5
尹,5
曾惠,5
曰,5
元少卿,5
元都領,5
金先達貂,5
氷亭弟,5
半刺先生所寄,5
金海燕子樓,5
權侍史 弘 點馬,5
金狀元 子粹,5
裵山人 衷,5
贈朴先生 免,5
朴先生 免,5
縣宰李 達,5
縣守李 達,5
李而立,5
邑宰,5
趙相,5
日本師,5
柑,5
行詩軸,5
韓予濬 時體察,5
贈韓予濬 時體察,5
權吉昌詩韻 吉昌詩曰,5
吉昌,5
禪宗判事 壽眉 師還道岬,5
原川尹竹軒詩卷,5
吳隱君,5
士顧,5
仲鑾坡春日雜詠,5
金上舍之驪江,5
方斯文 文仲,5
日休求和,5
日休陪高陽左相遊西湖,5
送日本釋秀彌首座,5
日本釋秀彌首座,5
成內相同年,5
李同年次公,5
咸吉道副元戎康同年 孝文,5
尹淡叟,5
題西原,5
洪應之,5
鄕人崔上舍 孟淵,5
善山權太守同年,5
金侍御,5
全羅道觀察使金公 永濡○,5
黃海監司李公 封,5
伯氏平安監司李公 坡,5
孫水部,5
道庵上人還白奄寺,5
鄭僉樞僚兄合眷還鄕,5
李玉如省墓歸善山,5
權大司憲 健 謫南,5
忠淸金監司 礪石,5
副使工科給事中王敞漢江,5
正使和,5
姜晉山邀津寬住持專上人,5
鄭執義 忻,5
永川君 定 遊長湍石壁,5
崔 勢遠,5
金善山 宗直 之任,5
人南歸,5
卜校尉,5
善源還伽倻舊居,5
日本西海元帥源敎直使者,5
台甫,5
貞甫韵,5
鄭山陰蘭秀秩滿拜監察還京,5
子眞,5
柳氏女,5
楊秀才浚,5
師聖,5
子健,5
鳳棲樓,5
李都事除直講還京,5
尋隱上人歸故山詩卷,5
悅上人遊,5
靖節歸園田,5
鳴,5
人之餘航,5
之實等諸賢,5
李公景元赴任安東,5
咸昌城主曹侯倜還邑,5
安子珍,5
金子胤,5
永川君松都懷古,5
克冏禪師,5
敏修禪師,5
丁校理 壽崑,5
別李君 昌臣 還京,5
參判金公 宗直,5
呈參判金公 宗直,5
洪判官之任慶源,5
朴彬可韻 仲儉,5
朴彬可見寄之,5
金希輿之任北道,5
虛菴,5
浪叟,5
奉希醇,5
平安李節度使希剛,5
金大猷 宏弼 上畢齋先生韻,5
敍之,5
擇之,5
止亭挹翠,5
不磷子完翼之案頭,5
李相公觀察關西,5
成進士 聃齡 投贈,5
畿伯金玉耳 璫 ○,5
別元之兄出按關北,5
眉叟,4
鄭書記,4
洪書記,4
崔相國 惟淸 留題,4
文長老,4
紅杮,4
天壽寺,4
幷,4
復用前,4
妓,4
內省金相國仁鏡,4
諸子,4
予餉柿,4
李平章復和前,4
李學士 百全 復和前詩來贈,4
來贈,4
李平章 仁植 和山呼亭牡丹見,4
山呼亭牡丹,4
李平章復和牡丹,4
牡丹,4
朴學士,4
丁秘監寫墨竹,4
雞冠花,4
子,4
李侍郞見和桃梨,4
紅柹,4
朴學士見和寄曆詩親訪贈之,4
寄曆詩親訪贈之,4
曆詩親訪贈之,4
王太子元日令製 幷序 祝聖壽,4
王太子元日令製 幷序 祝令壽,4
李兪諸公題任副樞 景謙 寢屛,4
歐梅感興,4
金相國 諱坵 題中書省未開芍,4
行云,4
季明叔雲錦樓,4
辛草亭山中見寄詩韻 裔,4
詩韻 裔,4
邸下,4
沈佐郞詩韻 東老,4
愚谷詠,4
順菴,4
喜晴,4
辛草亭,4
原功相國,4
若齋,4
閔仲晦先生,4
鷄林裴府尹,4
諸君子,4
蘭坡,4
葉孔昭江南,4
壺字,4
金同年前後所寄,4
金司空,4
倫絶磵,4
崔安東,4
禹,4
酢,4
舅氏,4
呈松軒,4
岩遁,4
呈靑城君鄭,4
杜工部,4
崔侍中在盈德時答朴書生,4
金海妓玉纖纖云,4
林副令孝先,4
李樞相次,4
河廉使,4
愼村相公,4
都元帥李相公出征倭寇 今太上,4
徐,4
呈漁隱,4
李大提學 行,4
朴雙溪,4
張祭酒,4
家兄所示,4
宋牧伯政滿如京,4
書云,4
牧伯詩云,4
詞云,4
前刺史河公,4
前刺史閔公題徐奉翊郊居詩 幷,4
歡喜堂頭,4
泂,4
山人角之,4
李令公崇仁,4
李公令 宥,4
趙芸閣 璞,4
半刺楊先生所示按節鄭公題洪川,4
按節鄭公題洪川客館,4
招之,4
宜州松亭,4
金按部,4
驛,4
天民州判,4
如大虗,4
全羅道按廉鄭揔郞 釐○,4
浮碧樓,4
李待制,4
韵奉簡知申事子通學士 權執經,4
知申事子通學士 權執經,4
承命上道,4
嘉章,4
靈通社主寄扇成政丞詩韵,4
扇成政丞詩韵,4
所作關東雜詠,4
伯瞻見贈韵,4
天使,4
弟執義,4
吏曹諸公,4
李判事兄 贇,4
奉,4
早梅,4
燕子樓,4
昌寧龜庵,4
僧還山,4
黃,4
雨亭先生,4
靑城君,4
鷄城君,4
永嘉君,4
偰揔制,4
韓山文靖公賀太祖捷雲峯凱還,4
陸主事 顆 林行人 士英 還,4
慶州倚風樓,4
李校直生員 昭,4
縣倅李 達,4
沃川郡守趙 憐,4
金 安重,4
侍從諸友,4
鄭判書,4
李塏,4
李正郞而立,4
權司諫 孟孫,4
禹使君,4
江原道兪監司 孝通 還朝,4
辛參判 碩祖,4
栗甫,4
金府尹 吉通○時任全州敎授,4
禪上人,4
成均列位,4
辛賢契 永孫幷敍,4
翰林韻呈仁山,4
仁山,4
學追上人,4
金敬甫,4
高陽政丞見和金中丞孟,4
洞中諸先生,4
羅州崔子初,4
咸吉從事官,4
浩堂師南遊,4
姜領議政,4
琴以詠,4
高山寺,4
前韻來惠,4
寧城諸公,4
來示,4
倪內翰大人文几,4
詔使倪內翰,4
內翰大人文几,4
文几,4
呈副使,4
永川公子園中,4
仲 侃○,4
金耆伯 崇老 察訪忠淸,4
李主簿,4
鄭子文持平,4
李僉樞,4
高太常漢江,4
耆伯之任咸悅,4
日休詩韻詠蠅,4
金察訪同年 孟○,4
前韻寄淡叟,4
咸吉道監司康 孝文,4
趙進士,4
金耆伯,4
茶墨椒脯,4
茂松,4
趙直提學 秋 廣州村墅,4
孫同年,4
瓜,4
梁中樞 順石 出尹慶州,4
吉城金太守,4
金參校,4
鯉魚,4
吳同隣詩韻 孝永○,4
許都廵察使,4
金參判 永堅 赴京,4
敬敏上人還,4
心上人,4
平安李觀察使,4
姪李判官之任安州,4
永安道申監司,4
李敎授 晟 之任公州,4
永川崔使君 潤身,4
崔校理 溥 奉使耽羅,4
申從事 從濩 鴨江之行,4
安邊南府使 季堂,4
鄭大司成 孝恒,4
李郡事 調元,4
自浿江至生陽舘有,4
正使寄題箕子廟,4
題箕子廟,4
副使重登百祥樓,4
正使鴨綠江別,4
成進士 侃 雜,4
丁正言 克仁 辭官還鄕,4
金文學 壽寧,4
金文學,4
義州牧端午,4
金太僕 湜 畫竹,4
忠州板上,4
尙覲親,4
祖和尙覲親,4
琉球國使自端上人,4
御製重賦狎鷗亭,4
江原朴監司 楗,4
專上人歸慶尙,4
尹相出巡慶尙道救荒,4
李平仲,4
姜國鈞,4
申高靈所寄,4
龍泉驛,4
奉勑祭西太,4
鄭學諭 致韶 之大丘,4
仲平,4
景胤,4
萬齡臺卷閑亭韵 盧龍仁鐵堅父,4
台甫書懷,4
尹洪川志詩軸,4
日本藺上人,4
金觀察使雲峯所寄韵,4
晉山君至日,4
玉如,4
余求和,4
時叔,4
通之兄,4
